sample_id,audio_file,params_file,midi_note,velocity,mod_ratio,mod_index,attack,decay,sustain,release
sample_00001,audio\sample_00001.wav,params\sample_00001.json,56,75,3.2114399473332913,2.207421732828192,0.08038677478035794,0.42388946564045715,0.6785722971325879,0.07332410068852822
sample_00002,audio\sample_00002.wav,params\sample_00002.json,56,75,1.8745046743442344,3.057687694570319,0.49848327493258315,0.25168888170807746,0.5979239465043238,0.054913440908517616
sample_00003,audio\sample_00003.wav,params\sample_00003.json,56,75,3.117169971069788,2.804144113751943,0.18533933880972406,0.1924870187702231,0.604892100653198,0.1159974799262473
sample_00004,audio\sample_00004.wav,params\sample_00004.json,56,75,3.394812806949586,9.285155128898904,0.09038897021116381,0.06171734849229089,0.5596680788247732,0.3023993929250635
sample_00005,audio\sample_00005.wav,params\sample_00005.json,56,75,0.5128072088030998,5.679282030756443,0.1542791456218216,0.18414656775026955,0.5739937429735225,0.15089465964073437
sample_00006,audio\sample_00006.wav,params\sample_00006.json,56,75,1.5686986293661214,0.16509555831416334,0.026918536663655332,0.2562105945928885,0.8189444165810964,0.2769433264108937
sample_00007,audio\sample_00007.wav,params\sample_00007.json,56,75,0.6633734989127766,6.14779365045766,0.03295193572926453,0.38666743367038753,0.5437312017487224,0.09367737328375621
sample_00008,audio\sample_00008.wav,params\sample_00008.json,56,75,2.830300732597578,5.63431425071247,0.010054531984353939,0.19388599392553726,0.5310388714555261,0.13448611697780052
sample_00009,audio\sample_00009.wav,params\sample_00009.json,56,75,1.5219964223208269,5.63736412165209,0.023665279108646613,0.4614959283529334,0.7706059127452702,0.1490536176661019
sample_00010,audio\sample_00010.wav,params\sample_00010.json,56,75,2.898042659794919,4.810821173971451,0.024729472828508823,0.10804880233230328,0.9905483907091861,0.11633418465713159
sample_00011,audio\sample_00011.wav,params\sample_00011.json,56,75,2.610110180099656,4.125745070437967,0.07209573599910793,0.15331980199482595,0.6473358485269137,0.3477690525423639
sample_00012,audio\sample_00012.wav,params\sample_00012.json,56,75,2.4117746804853617,4.936077914180611,0.1235128608898982,0.15983441008962782,0.9046349662513864,0.09709470010547515
sample_00013,audio\sample_00013.wav,params\sample_00013.json,56,75,2.3423953457220152,1.7869439081976612,0.016276474369246684,0.10069128811733938,0.5217874941780856,0.24105854952878647
sample_00014,audio\sample_00014.wav,params\sample_00014.json,56,75,1.1215513225969673,9.336851708150437,0.4181285180584195,0.056002412282989356,0.7167257796620599,0.09151692477024576
sample_00015,audio\sample_00015.wav,params\sample_00015.json,56,75,2.186330712305242,0.6540705561349047,0.0320670018868388,0.34011319584853217,0.974596877800165,0.4905686503739523
sample_00016,audio\sample_00016.wav,params\sample_00016.json,56,75,3.498408492720346,0.21725993738083815,0.4701177213890446,0.11206054130902526,0.37782512426376363,0.4346090203549475
sample_00017,audio\sample_00017.wav,params\sample_00017.json,56,75,1.3936751644215093,9.785528145952796,0.1313961202779651,0.15170342405537607,0.4109858202577757,0.09450900503702524
sample_00018,audio\sample_00018.wav,params\sample_00018.json,56,75,2.795141945083061,0.9507690700922566,0.33911164874442884,0.16212064257887057,0.8162969035417373,0.3542094320037949
sample_00019,audio\sample_00019.wav,params\sample_00019.json,56,75,3.863411861274369,4.4750601009639555,0.15014256308246515,0.4408674985189345,0.7341410168467473,0.3741224574580354
sample_00020,audio\sample_00020.wav,params\sample_00020.json,56,75,2.461532371058257,2.952715460697256,0.14153992761063272,0.087714178279487,0.7865205963978137,0.10557212018848189
sample_00021,audio\sample_00021.wav,params\sample_00021.json,56,75,2.5784367446764147,2.811161061079167,0.012895655063879102,0.08246304356340028,0.4379712635224462,0.2640856365264372
